id,date,warehouse_id,item_id,stock_in,stock_out,closing_stock,is_anomaly,anomaly_type,entry_source,entered_by
4202,2026-07-13,WH-BLR-01,ITM-CPU-01,0,0,45,0,none,simulated,system_sim
4203,2026-07-13,WH-BLR-01,ITM-GPU-01,0,1,29,0,none,simulated,system_sim
4204,2026-07-13,WH-BLR-01,ITM-RAM-01,0,10,65,0,none,simulated,system_sim
4205,2026-07-13,WH-BLR-01,ITM-SSD-01,0,3,87,0,none,simulated,system_sim
4206,2026-07-13,WH-BLR-01,ITM-HDD-01,0,1,59,0,none,simulated,system_sim
4207,2026-07-13,WH-BLR-01,ITM-CHG-01,0,4,146,0,none,simulated,system_sim
4208,2026-07-13,WH-BLR-01,ITM-CBL-01,0,9,291,0,none,simulated,system_sim
4209,2026-07-13,WH-CHN-01,ITM-CPU-01,0,2,43,0,none,simulated,system_sim
4210,2026-07-13,WH-CHN-01,ITM-GPU-01,0,1,29,0,none,simulated,system_sim
4211,2026-07-13,WH-CHN-01,ITM-RAM-01,0,1,74,0,none,simulated,system_sim
4212,2026-07-13,WH-CHN-01,ITM-SSD-01,0,0,90,0,none,simulated,system_sim
4213,2026-07-13,WH-CHN-01,ITM-HDD-01,0,2,58,0,none,simulated,system_sim
4214,2026-07-13,WH-CHN-01,ITM-CHG-01,0,7,143,0,none,simulated,system_sim
4215,2026-07-13,WH-CHN-01,ITM-CBL-01,0,10,290,0,none,simulated,system_sim
4216,2026-07-13,WH-BOM-01,ITM-CPU-01,0,1,44,0,none,simulated,system_sim
4217,2026-07-13,WH-BOM-01,ITM-GPU-01,0,1,29,0,none,simulated,system_sim
4218,2026-07-13,WH-BOM-01,ITM-RAM-01,0,5,70,0,none,simulated,system_sim
4219,2026-07-13,WH-BOM-01,ITM-SSD-01,0,2,88,0,none,simulated,system_sim
4220,2026-07-13,WH-BOM-01,ITM-HDD-01,0,3,57,0,none,simulated,system_sim
4221,2026-07-13,WH-BOM-01,ITM-CHG-01,0,8,142,0,none,simulated,system_sim
4222,2026-07-13,WH-BOM-01,ITM-CBL-01,0,1,299,0,none,simulated,system_sim
4223,2026-07-13,WH-DEL-01,ITM-CPU-01,0,2,43,0,none,simulated,system_sim
4224,2026-07-13,WH-DEL-01,ITM-GPU-01,0,1,29,0,none,simulated,system_sim
4225,2026-07-13,WH-DEL-01,ITM-RAM-01,0,10,65,0,none,simulated,system_sim
4226,2026-07-13,WH-DEL-01,ITM-SSD-01,0,2,88,0,none,simulated,system_sim
4227,2026-07-13,WH-DEL-01,ITM-HDD-01,0,2,58,0,none,simulated,system_sim
4228,2026-07-13,WH-DEL-01,ITM-CHG-01,0,1,149,0,none,simulated,system_sim
4229,2026-07-13,WH-DEL-01,ITM-CBL-01,0,10,290,0,none,simulated,system_sim
4230,2026-07-13,WH-CCU-01,ITM-CPU-01,0,0,45,0,none,simulated,system_sim
4231,2026-07-13,WH-CCU-01,ITM-GPU-01,0,2,28,0,none,simulated,system_sim
4232,2026-07-13,WH-CCU-01,ITM-RAM-01,0,7,68,0,none,simulated,system_sim
4233,2026-07-13,WH-CCU-01,ITM-SSD-01,0,1,89,0,none,simulated,system_sim
4234,2026-07-13,WH-CCU-01,ITM-HDD-01,0,0,60,0,none,simulated,system_sim
4235,2026-07-13,WH-CCU-01,ITM-CHG-01,0,7,143,0,none,simulated,system_sim
4236,2026-07-13,WH-CCU-01,ITM-CBL-01,0,3,297,0,none,simulated,system_sim
4237,2026-07-14,WH-BLR-01,ITM-CPU-01,0,3,42,0,none,simulated,system_sim
4238,2026-07-14,WH-BLR-01,ITM-GPU-01,0,0,29,0,none,simulated,system_sim
4239,2026-07-14,WH-BLR-01,ITM-RAM-01,0,7,58,0,none,simulated,system_sim
4240,2026-07-14,WH-BLR-01,ITM-SSD-01,0,1,86,0,none,simulated,system_sim
